Title,Author,No. of Ratings,Publish Year,No. of Editions,Genere,Average Rating
Moonwalking with Einstein: The Art and Science of Remembering Everything,Joshua Foer (Goodreads Author),82697,2011,11,science,3.87
The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan,65840,1996,84,science,4.26
This Is Your Brain on Music: The Science of a Human Obsession,Daniel J. Levitin,58360,2006,52,science,3.87
"The Ghost Map: The Story of London's Most Terrifying Epidemic—and How It Changed Science, Cities, and the Modern World",Steven Johnson (Goodreads Author),50959,2006,34,science,3.86
"How to Change Your Mind: What the New Science of Psychedelics Teaches Us About Consciousness, Dying, Addiction, Depression, and Transcendence",Michael Pollan (Goodreads Author),59487,2018,46,science,4.17
Breath: The New Science of a Lost Art,James Nestor,33306,2020,39,science,4.15
"Enlightenment Now: The Case for Reason, Science, Humanism, and Progress",Steven Pinker (Goodreads Author),24285,2018,63,science,4.22
Packing for Mars: The Curious Science of Life in the Void,Mary Roach,56135,2010,48,science,3.93
The Brain that Changes Itself: Stories of Personal Triumph from the Frontiers of Brain Science,Norman Doidge,34740,2007,76,science,4.17
Algorithms to Live By: The Computer Science of Human Decisions,"Brian Christian (Goodreads Author), 


Tom  Griffiths (Goodreads Author)",24399,2016,3,science,4.12
Bonk: The Curious Coupling of Science and Sex,Mary Roach,56707,2008,55,science,3.83
Come as You Are: The Surprising New Science that Will Transform Your Sex Life,Emily Nagoski (Goodreads Author),26845,2015,47,science,4.26
Bad Science,Ben Goldacre,41469,2008,60,science,4.04
Attached: The New Science of Adult Attachment and How It Can Help You Find—and Keep—Love,"Amir Levine, 


Rachel S.F. Heller",34053,2010,43,science,4.13
Complications: A Surgeon's Notes on an Imperfect Science,Atul Gawande,44680,2002,45,science,4.24
Spook: Science Tackles the Afterlife,Mary Roach,37380,2005,41,science,3.59
Chaos: Making a New Science,James Gleick (Goodreads Author),34394,1987,86,science,4.02
"Galileo's Daughter: A Historical Memoir of Science, Faith and Love",Dava Sobel,30122,1999,67,science,3.72
The Science of Getting Rich,Wallace D. Wattles,36616,1910,822,science,4.13
Unlimited Power: The New Science Of Personal Achievement,"Anthony Robbins (Goodreads Author), 


Kenneth H. Blanchard (Goodreads Author) (Foreword by), 


Jason Winters (Introduction)",32670,1986,102,science,4.2
The Code Book: The Science of Secrecy from Ancient Egypt to Quantum Cryptography,Simon Singh,25625,1999,79,science,4.24
Genius: The Life and Science of Richard Feynman,"James Gleick (Goodreads Author), 


Richard P. Feynman (Quoted)",24245,1992,28,science,4.06
A Mind for Numbers: How to Excel at Math and Science,Barbara Oakley,16937,2014,9,science,4.19
The Food Lab: Better Home Cooking Through Science,J. Kenji López-Alt,18723,2015,8,science,4.02
The Moral Landscape: How Science Can Determine Human Values,Sam Harris,21357,2010,32,science,3.91
Make It Stick: The Science of Successful Learning,"Peter C. Brown, 


Henry L. Roediger III, 


Mark A. McDaniel",14267,2014,5,science,4.14
Superforecasting: The Art and Science of Prediction,"Philip E. Tetlock, 


Dan Gardner",16709,2015,42,science,4.07
Why Buddhism is True: The Science and Philosophy of Meditation and Enlightenment,Robert Wright,18561,2017,11,science,3.98
The Moral Animal: Why We Are the Way We Are - The New Science of Evolutionary Psychology,Robert Wright,10473,1994,20,science,4.07
Inferior: How Science Got Women Wrong—and the New Research That's Rewriting the Story,Angela Saini,6600,2017,32,science,4.08
Peak: Secrets from the New Science of Expertise,"K. Anders Ericsson, 


Robert Pool",14492,2016,45,science,4.19
On Food and Cooking: The Science and Lore of the Kitchen,Harold McGee,14457,1984,22,science,4.46
The Charisma Myth: How Anyone Can Master the Art and Science of Personal Magnetism,Olivia Fox Cabane,16422,2012,44,science,3.89
Spark: The Revolutionary New Science of Exercise and the Brain,"John J. Ratey, 


Eric Hagerman",13641,2008,5,science,4.09
Social Intelligence: The New Science of Human Relationships,Daniel Goleman (Goodreads Author),12429,2006,73,science,3.99
The Gay Science,"Friedrich Nietzsche, 


Walter Kaufmann (Translator)",14753,1882,160,science,4.26
Grunt: The Curious Science of Humans at War,Mary Roach,21194,2016,27,science,3.89
"Beard Science (Winston Brothers, #3)",Penny Reid (Goodreads Author),27981,2016,16,science,4.43
How to Live Safely in a Science Fictional Universe,Charles Yu (Goodreads Author),17180,2010,32,science,3.48
The Confidence Code: The Science and Art of Self-Assurance – What Women Should Know,"Katty Kay, 


Claire Shipman",12180,2014,21,science,3.71
Why We Buy: The Science of Shopping,Paco Underhill,13076,1999,40,science,3.87
Remember: The Science of Memory and the Art of Forgetting,Lisa Genova (Goodreads Author),4157,2021,13,science,4.25
The Sports Gene: Inside the Science of Extraordinary Athletic Performance,David   Epstein (Goodreads Author),12385,2013,33,science,4.2
